# IMMUTABLE RAW PULL — DO NOT MODIFY
# Instrument: SPY
# Source: IBKR TWS port 7497
# whatToShow: ADJUSTED_LAST
# barSizeSetting: 1 day, useRTH: True
# Pull date: 2026-07-01
# Rows: 6033
date,open,high,low,close,volume
2022-06-10,372.7,373.55,367.86,367.91,83522796.0
2022-06-13,358.52,360.37,352.34,353.94,100739035.0
2022-06-14,355.69,356.72,349.78,352.87,69558803.0
2022-06-15,356.17,362.34,351.22,357.9,88104894.0
2022-06-16,349.72,350.13,343.61,346.06,89225377.0
2022-06-17,346.45,350.14,343.31,346.81,69420640.0
2022-06-21,352.51,356.92,352.45,355.54,52554416.0
2022-06-22,351.35,359.0,350.9,354.89,58378680.0
2022-06-23,357.02,359.1,353.47,358.37,54946461.0
2022-06-24,361.54,369.76,361.5,369.76,62140339.0
2022-06-27,370.68,370.98,367.26,368.35,47326375.0
2022-06-28,369.9,372.68,360.71,360.82,59419747.0
2022-06-29,361.37,362.36,358.71,360.53,49865440.0
2022-06-30,356.64,360.83,353.16,357.6,74798324.0
2022-07-01,356.92,361.82,354.33,361.38,54422712.0
2022-07-05,356.27,362.09,353.48,362.07,59935720.0
2022-07-06,362.21,365.77,359.83,363.29,50819311.0
2022-07-07,365.06,369.53,365.06,368.73,43623168.0
2022-07-08,367.1,370.29,365.57,368.43,46570868.0
2022-07-11,365.75,366.72,363.53,364.22,41555824.0
2022-07-12,363.67,366.05,359.25,361.0,43480076.0
2022-07-13,355.56,362.03,355.14,359.1,56309524.0
2022-07-14,354.2,358.85,351.72,358.23,56814490.0
2022-07-15,362.63,365.19,360.72,365.07,45095790.0
2022-07-18,368.15,368.83,360.83,362.06,43396591.0
2022-07-19,365.97,372.41,365.32,371.84,53190908.0
2022-07-20,371.97,375.62,370.66,374.21,48769163.0
2022-07-21,373.63,378.07,371.23,378.02,44878671.0
2022-07-22,378.14,379.32,372.29,374.51,47388589.0
2022-07-25,375.14,375.82,372.73,374.97,36862675.0
2022-07-26,373.33,373.54,369.64,370.53,37470804.0
2022-07-27,373.82,381.9,373.53,380.15,56772803.0
2022-07-28,380.96,385.61,377.41,384.92,49806841.0
2022-07-29,386.35,391.52,385.58,390.53,52310915.0
2022-08-01,387.84,391.88,387.13,389.38,48852396.0
2022-08-02,387.81,391.49,385.63,386.81,45559833.0
2022-08-03,388.95,394.03,388.65,392.86,45076358.0
2022-08-04,392.78,393.47,390.96,392.6,30278763.0
2022-08-05,388.36,392.58,388.27,391.94,39875963.0
2022-08-08,393.62,395.87,390.38,391.48,37839847.0
2022-08-09,390.76,391.25,388.85,389.93,33550849.0
2022-08-10,396.98,398.26,395.02,398.12,44005375.0
2022-08-11,400.96,402.82,397.38,398.12,41099656.0
2022-08-12,400.05,404.96,399.1,404.86,40394029.0
2022-08-15,402.65,407.05,402.59,406.52,35975723.0
2022-08-16,405.45,409.24,404.65,407.32,40141474.0
2022-08-17,403.77,407.13,402.43,404.43,42565573.0
2022-08-18,404.63,406.29,403.34,405.6,32654977.0
2022-08-19,402.85,403.11,399.28,400.15,45147599.0
